arm,seed,start_step,step,train_loss,grad_norm,update_norm,update_weight_ratio,wq_wk_norm,non_finite,step_ms
control,1,2000,2001,4.661612034,1.489183686,0.4066470529,0.004351810308,7.839791187,false,1168.0567
control,1,2000,2010,4.436455727,1.167256409,0.4073882661,0.004353424161,7.856423253,false,1191.9692
control,1,2000,2020,4.411214828,1.278040469,0.4064340081,0.004336131404,7.874805302,false,1161.2428
control,1,2000,2030,4.313510895,1.14114608,0.4062881191,0.004326859238,7.891193085,false,1146.9577
control,1,2000,2040,4.579606056,1.381804685,0.407374313,0.004331457304,7.909420681,false,1145.1386
control,1,2000,2050,4.030088902,1.127748983,0.4089166426,0.004340907888,7.931716777,false,1168.5484
control,1,2000,2060,4.290555477,1.01597583,0.4083781932,0.00432786371,7.954153029,false,1155.7423
control,1,2000,2070,4.400721073,1.128972949,0.4080998915,0.004317117323,7.974096874,false,1154.6035
control,1,2000,2080,4.441073418,1.091692001,0.4084236676,0.004312589269,7.996808844,false,1457.5215
control,1,2000,2090,4.588886261,1.122544715,0.4070506782,0.004289655912,8.017819435,false,1128.3729
control,1,2000,2100,4.639351845,1.111567197,0.4083005833,0.004294937338,8.036988885,false,1282.9081
control,1,2000,2110,4.631407738,1.262603654,0.4052776371,0.004255324197,8.053593667,false,1318.4888
control,1,2000,2120,4.585221291,1.16460048,0.4062871165,0.004258098711,8.069164383,false,1256.1454
control,1,2000,2130,4.512969017,1.237162291,0.4069559268,0.004257640734,8.089634932,false,1290.2714
control,1,2000,2140,4.788632393,1.187858229,0.4089008498,0.004270723361,8.116026661,false,1189.4549
control,1,2000,2150,4.516716957,1.068335464,0.4084590955,0.004258055244,8.141709081,false,1271.2406
control,1,2000,2160,4.41215229,1.135954029,0.4076379216,0.004241421805,8.163904109,false,1226.9907
control,1,2000,2170,4.596487522,1.318330119,0.4075843037,0.004233057625,8.180061891,false,1358.1127
control,1,2000,2180,4.510011673,1.262226613,0.4068361658,0.004217981133,8.193972877,false,1217.1458
control,1,2000,2190,4.47981596,1.31416581,0.4068745382,0.004211280581,8.211586276,false,1190.979
control,1,2000,2200,4.183334827,1.200577338,0.4081242753,0.004216831723,8.234641773,false,1324.1187
control,1,2000,2210,4.317600727,1.196491966,0.4072085092,0.004198955281,8.259434188,false,1305.3749
control,1,2000,2220,4.442536354,1.259403472,0.4083172411,0.004203071148,8.279396073,false,1313.4045
control,1,2000,2230,4.423012733,1.329389328,0.4078744423,0.004192992857,8.303941976,false,1323.2209
control,1,2000,2240,4.320435047,1.264965959,0.4085189161,0.004193603924,8.323157254,false,1304.067
control,1,2000,2250,4.207355022,1.182899299,0.4077580808,0.004178565789,8.341459304,false,1267.638
control,1,2000,2260,4.125100136,1.185212307,0.4083279642,0.004177711743,8.355639455,false,1305.596
control,1,2000,2270,4.272166729,1.207339938,0.4078139205,0.004165111871,8.371105404,false,1266.4854
control,1,2000,2280,3.978382349,1.107287457,0.4065987452,0.004145504796,8.392057282,false,1267.0902
control,1,2000,2290,4.554870605,1.267685746,0.4063043167,0.004135900302,8.41190462,false,1277.8256
control,1,2000,2300,4.614665985,1.329177997,0.4069284609,0.004135376845,8.431635627,false,1170.0339
control,1,2000,2310,4.062701225,1.240830815,0.4077610808,0.004137428352,8.452018439,false,1253.6251
control,1,2000,2320,4.325153351,1.146831021,0.4065782699,0.004118830827,8.471061713,false,1322.4731
control,1,2000,2330,4.567803383,1.38020963,0.4062268351,0.004108127227,8.490229533,false,1297.5723
control,1,2000,2340,3.972598076,1.136742003,0.4065589557,0.004104056981,8.50620359,false,1311.4254
control,1,2000,2350,4.578868389,1.110476724,0.4065458979,0.004096862159,8.519467816,false,1257.2627
control,1,2000,2360,4.682636738,1.229545628,0.4072665164,0.004097539311,8.534021598,false,1283.4767
control,1,2000,2370,4.332925797,1.095121304,0.4079262345,0.004098029342,8.544726911,false,1258.5077
control,1,2000,2380,4.236710548,1.137191645,0.4069873365,0.004081068281,8.555473394,false,1276.0686
control,1,2000,2390,4.685422897,1.277772427,0.4056708175,0.004061141262,8.569101093,false,1271.5907
control,1,2000,2400,3.896098852,1.195600324,0.4062923706,0.004060767446,8.59237701,false,1231.1827
control,1,2000,2410,4.214767933,1.238009519,0.4061218459,0.004051676194,8.618051067,false,1266.5909
control,1,2000,2420,4.317612171,1.302628533,0.405348482,0.00403648725,8.640104966,false,1279.256
control,1,2000,2430,4.261073112,1.203925934,0.4055343686,0.004032674627,8.656466473,false,1354.723
control,1,2000,2440,4.403119564,1.190775789,0.4065044369,0.00403650068,8.663677837,false,1259.5177
control,1,2000,2450,4.253983021,1.211387912,0.4079308056,0.00404453502,8.681567297,false,1289.858
control,1,2000,2460,4.234527111,1.320340656,0.4082641917,0.004042177102,8.700784264,false,1286.7941
control,1,2000,2470,4.163562298,1.130153753,0.4067628924,0.004021120592,8.722046158,false,1307.1913
control,1,2000,2480,4.296947002,1.14787526,0.4073688861,0.004020383166,8.750502054,false,1229.691
control,1,2000,2490,4.49152565,1.314314465,0.4072683722,0.004013481562,8.782459477,false,1209.0623
control,1,2000,2500,4.34731245,1.154883802,0.4072077208,0.004008372152,8.809975063,false,1286.7214
